2021-05-07 18:13:08.325255	https://www.encodeproject.org/cart-report/?type=Experiment&cart=%2Fcarts%2Fbb87d192-cfd4-4769-aa11-45f959ca27cf%2F&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&advancedQuery=date_released%3A%5B2009-01-01+TO+2021-12-31%5D&limit=all
ID	Accession	Assay name	Assay title	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Replicates	Mixed biosamples
/experiments/ENCSR194YUY/	ENCSR194YUY	long read RNA-seq	long read RNA-seq			heart left ventricle tissue female adult (53 years)	heart left ventricle	GEO:GSE143125	ENTEX105 Heart - Left Ventricle 3-1	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF185VYD/,/files/ENCFF799GMD/,/files/ENCFF965VNS/,/files/ENCFF268NRG/,/files/ENCFF739QPI/,/files/ENCFF146VCF/,/files/ENCFF989FKA/,/files/ENCFF391PKR/,/files/ENCFF575TKT/		ENCBS504IQD	1	1		Homo sapiens	adult	53 years										/replicates/4bf3e588-df1d-46d2-8a70-9698399af618/	
/experiments/ENCSR777CCI/	ENCSR777CCI	long read RNA-seq	long read RNA-seq			left ventricle myocardium superior tissue male adult (60 years)	left ventricle myocardium superior		ENC4_54 W78 left ventricle myocardium superior	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF624IQY/,/files/ENCFF850YMO/,/files/ENCFF560GYE/,/files/ENCFF865IXS/,/files/ENCFF541FGD/		ENCBS575IUN	1	1		Homo sapiens	adult	60 years										/replicates/4930c0c4-7d20-49fb-b204-a78c47485f67/	
/experiments/ENCSR435UUS/	ENCSR435UUS	long read RNA-seq	long read RNA-seq			right cardiac atrium tissue male adult (60 years)	right cardiac atrium		ENC4_58 W78 right cardiac atrium	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF242WRZ/,/files/ENCFF906LNC/,/files/ENCFF330VRX/,/files/ENCFF491THQ/,/files/ENCFF291EKY/		ENCBS858PZM	1	1		Homo sapiens	adult	60 years										/replicates/45533e71-db64-405c-9640-0f1cd53e7598/	
/experiments/ENCSR514YQN/	ENCSR514YQN	long read RNA-seq	long read RNA-seq			right cardiac atrium tissue female adult (46 years)	right cardiac atrium		ENC4_59 W72 right cardiac atrium	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF722JJS/,/files/ENCFF613SDS/,/files/ENCFF592ULG/,/files/ENCFF973OHW/,/files/ENCFF266ZMG/		ENCBS271IJH	1	1		Homo sapiens	adult	46 years										/replicates/b3cad3f9-e9c9-4a01-891c-1ce0f2eec14b/	
/experiments/ENCSR507WZC/	ENCSR507WZC	long read RNA-seq	long read RNA-seq			ovary tissue female adult (61 years)	ovary		ENC4_72 W80 ovary	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF422XLS/,/files/ENCFF692VYV/,/files/ENCFF664IVZ/,/files/ENCFF984RMR/,/files/ENCFF741VRA/		ENCBS587XYW	1	1		Homo sapiens	adult	61 years										/replicates/93a930b3-6c3b-4e53-bd4c-2e6df0aea7db/	
/experiments/ENCSR113MEY/	ENCSR113MEY	long read RNA-seq	long read RNA-seq			IMR-90	IMR-90		IMR90 cell line	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF197DCI/,/files/ENCFF320RGU/,/files/ENCFF545PJV/,/files/ENCFF244YTX/,/files/ENCFF461UXJ/		ENCBS648NSQ	1	1		Homo sapiens	embryonic	16 weeks										/replicates/e68934cf-9bac-4075-a781-0eb679971c12/	
/experiments/ENCSR634AKC/	ENCSR634AKC	long read RNA-seq	long read RNA-seq			HepG2	HepG2		HepG2 Ljungman	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF483HTA/,/files/ENCFF834RIH/,/files/ENCFF382KVB/,/files/ENCFF814ABW/,/files/ENCFF333KIC/		ENCBS365LJQ	1	1		Homo sapiens	child	15 years										/replicates/37e05107-6b3b-44ef-979c-58a223030632/	
/experiments/ENCSR553SVP/	ENCSR553SVP	long read RNA-seq	long read RNA-seq			right cardiac atrium tissue female adult (59 years)	right cardiac atrium		ENC4_36 W73 cardiac right atrium	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF899MTI/,/files/ENCFF819CFZ/,/files/ENCFF046EOU/,/files/ENCFF911RNV/,/files/ENCFF861GRI/		ENCBS911SOZ	1	1		Homo sapiens	adult	59 years										/replicates/3c992687-d459-4a30-bd71-6619e46e8dd5/	
/experiments/ENCSR138TAS/	ENCSR138TAS	long read RNA-seq	long read RNA-seq			posterior vena cava tissue female adult (59 years)	posterior vena cava		ENC4_102 W73 posterior vena cava	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF658OZB/,/files/ENCFF760WCA/,/files/ENCFF761TXP/,/files/ENCFF798BHO/,/files/ENCFF472TSL/		ENCBS892JRQ	1	1		Homo sapiens	adult	59 years										/replicates/d664b8f9-928b-4bdb-aaf4-bb752e0d14f3/	
/experiments/ENCSR477HHG/	ENCSR477HHG	long read RNA-seq	long read RNA-seq			ovary tissue female adult (59 years)	ovary		ENC4_71 W73 ovary	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF756AHG/,/files/ENCFF056MAB/,/files/ENCFF583MSU/,/files/ENCFF661OBD/,/files/ENCFF420XTR/		ENCBS756ETL	1	1		Homo sapiens	adult	59 years										/replicates/9c6631b1-68e4-4882-b187-11755ea04f40/	
